#WEBOTS_MOTION,V1.0,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0.72,Pose37,0,0.153,-0.142,0.934,-0.792,-0.153,0,0.108,-0.424,0.983,-0.559,-0.147
0.74,Pose38,0,0.186,-0.337,1.196,-0.859,-0.186,0,0.117,-0.412,0.99,-0.578,-0.169
0.76,Pose39,0,0.199,-0.508,1.335,-0.827,-0.199,0,0.124,-0.42,1.008,-0.589,-0.177
0.78,Pose40,0,0.201,-0.661,1.384,-0.722,-0.201,0,0.126,-0.432,1.03,-0.599,-0.178
0.8,Pose41,0,0.184,-0.763,1.278,-0.515,-0.184,0,0.117,-0.435,1.047,-0.612,-0.17
0.82,Pose42,0,0.164,-0.739,1.148,-0.409,-0.164,0,0.105,-0.418,1.038,-0.62,-0.157
0.84,Pose43,0,0.14,-0.683,1.039,-0.356,-0.14,0,0.122,-0.387,1.017,-0.63,-0.139
0.86,Pose44,0,0.099,-0.628,1.006,-0.378,-0.099,0,0.099,-0.334,0.988,-0.654,-0.099
0.88,Pose45,0,0.062,-0.608,1.022,-0.414,-0.062,0,0.062,-0.299,0.974,-0.675,-0.062
0.9,Pose46,0,-0.007,-0.566,1.034,-0.468,0.007,0,-0.007,-0.233,0.935,-0.702,0.007
0.92,Pose47,0,-0.055,-0.53,1.029,-0.499,0.055,0,-0.055,-0.181,0.892,-0.712,0.055
0.94,Pose48,0,-0.095,-0.49,1.014,-0.524,0.095,0,-0.095,-0.126,0.839,-0.714,0.095
0.96,Pose49,0,-0.121,-0.452,0.993,-0.541,0.126,0,-0.127,-0.097,0.83,-0.732,0.127
0.98,Pose50,0,-0.105,-0.417,0.982,-0.565,0.157,0,-0.166,-0.194,1.018,-0.824,0.166
1,Pose51,0,-0.118,-0.413,0.99,-0.578,0.17,0,-0.187,-0.338,1.197,-0.859,0.187
1.02,Pose52,0,-0.125,-0.42,1.008,-0.588,0.177,0,-0.199,-0.509,1.335,-0.826,0.199
1.04,Pose53,0,-0.125,-0.436,1.039,-0.603,0.177,0,-0.198,-0.716,1.369,-0.653,0.198
1.06,Pose54,0,-0.118,-0.435,1.047,-0.612,0.17,0,-0.184,-0.764,1.278,-0.515,0.184
