#WEBOTS_MOTION,V1.0,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll
0.64,Pose17,0,0,1.745,0.349,-1.396,-1.396,0.101,0.101,-0.531,1.033,-0.502,0.101,0.101,0.101,-0.531,1.033,-0.502,0.101,1.745,-0.349,1.396,1.396
0.68,Pose18,0,0,1.745,0.349,-1.396,-1.396,0.124,0.124,-0.531,1.024,-0.494,0.124,0.124,0.124,-0.531,1.024,-0.494,0.124,1.745,-0.349,1.396,1.396
0.72,Pose19,0,0,1.745,0.349,-1.396,-1.396,0.157,0.157,-0.53,1.009,-0.479,0.157,0.157,0.157,-0.53,1.009,-0.479,0.157,1.745,-0.349,1.396,1.396
0.76,Pose20,0,0,1.745,0.349,-1.396,-1.396,0.174,0.174,-0.532,0.999,-0.467,0.173,0.174,0.174,-0.537,1.009,-0.472,0.174,1.745,-0.349,1.396,1.396
0.8,Pose21,0,0,1.745,0.349,-1.396,-1.396,0.197,0.197,-0.55,1.002,-0.452,0.19,0.197,0.197,-0.604,1.135,-0.531,0.197,1.745,-0.349,1.396,1.396
0.84,Pose22,0,0,1.745,0.349,-1.396,-1.396,0.211,0.211,-0.572,1.017,-0.446,0.196,0.211,0.211,-0.653,1.26,-0.607,0.211,1.745,-0.349,1.396,1.396
0.88,Pose23,0,0,1.745,0.349,-1.396,-1.396,0.221,0.221,-0.593,1.033,-0.44,0.198,0.221,0.221,-0.666,1.357,-0.691,0.221,1.745,-0.349,1.396,1.396
0.92,Pose24,0,0,1.745,0.349,-1.396,-1.396,0.219,0.219,-0.612,1.041,-0.429,0.195,0.219,0.219,-0.598,1.38,-0.782,0.219,1.745,-0.349,1.396,1.396
0.96,Pose25,0,0,1.745,0.349,-1.396,-1.396,0.205,0.205,-0.615,1.033,-0.418,0.187,0.205,0.205,-0.515,1.306,-0.791,0.205,1.745,-0.349,1.396,1.396
1,Pose26,0,0,1.745,0.349,-1.396,-1.396,0.184,0.184,-0.615,1.018,-0.403,0.174,0.184,0.184,-0.431,1.187,-0.757,0.184,1.745,-0.349,1.396,1.396
1.04,Pose27,0,0,1.745,0.349,-1.396,-1.396,0.147,0.147,-0.623,0.996,-0.373,0.145,0.147,0.147,-0.35,1.021,-0.671,0.147,1.745,-0.349,1.396,1.396
1.08,Pose28,0,0,1.745,0.349,-1.396,-1.396,0.119,0.119,-0.638,0.989,-0.351,0.119,0.119,0.119,-0.354,0.991,-0.637,0.119,1.745,-0.349,1.396,1.396
1.12,Pose29,0,0,1.745,0.349,-1.396,-1.396,0.085,0.085,-0.664,0.989,-0.325,0.085,0.085,0.085,-0.392,1.017,-0.625,0.085,1.745,-0.349,1.396,1.396
1.16,Pose30,0,0,1.745,0.349,-1.396,-1.396,0.02,0.02,-0.704,0.979,-0.275,0.02,0.02,0.02,-0.455,1.053,-0.598,0.02,1.745,-0.349,1.396,1.396
1.2,Pose31,0,0,1.745,0.349,-1.396,-1.396,-0.029,-0.029,-0.724,0.958,-0.234,-0.029,-0.029,-0.029,-0.492,1.065,-0.572,-0.029,1.745,-0.349,1.396,1.396
1.24,Pose32,0,0,1.745,0.349,-1.396,-1.396,-0.074,-0.074,-0.736,0.926,-0.19,-0.074,-0.074,-0.074,-0.522,1.065,-0.542,-0.074,1.745,-0.349,1.396,1.396
1.28,Pose33,0,0,1.745,0.349,-1.396,-1.396,-0.12,-0.12,-0.765,0.914,-0.148,-0.126,-0.12,-0.12,-0.556,1.053,-0.497,-0.124,1.745,-0.349,1.396,1.396
1.32,Pose34,0,0,1.745,0.349,-1.396,-1.396,-0.108,-0.108,-0.828,1.021,-0.192,-0.153,-0.108,-0.108,-0.582,1.056,-0.474,-0.147,1.745,-0.349,1.396,1.396
1.36,Pose35,0,0,1.745,0.349,-1.396,-1.396,-0.111,-0.111,-0.889,1.185,-0.297,-0.176,-0.111,-0.111,-0.611,1.069,-0.459,-0.163,1.745,-0.349,1.396,1.396
1.4,Pose36,0,0,1.745,0.349,-1.396,-1.396,-0.123,-0.123,-0.873,1.393,-0.52,-0.198,-0.123,-0.123,-0.641,1.085,-0.444,-0.176,1.745,-0.349,1.396,1.396
1.44,Pose37,0,0,1.745,0.349,-1.396,-1.396,-0.125,-0.125,-0.765,1.424,-0.659,-0.2,-0.125,-0.125,-0.644,1.079,-0.435,-0.177,1.745,-0.349,1.396,1.396
1.48,Pose38,0,0,1.745,0.349,-1.396,-1.396,-0.12,-0.12,-0.613,1.352,-0.739,-0.19,-0.12,-0.12,-0.634,1.058,-0.424,-0.173,1.745,-0.349,1.396,1.396
1.52,Pose39,0,0,1.745,0.349,-1.396,-1.396,-0.103,-0.103,-0.413,1.14,-0.726,-0.162,-0.103,-0.103,-0.619,1.021,-0.402,-0.155,1.745,-0.349,1.396,1.396
1.56,Pose40,0,0,1.745,0.349,-1.396,-1.396,-0.12,-0.12,-0.347,1.023,-0.676,-0.138,-0.12,-0.12,-0.62,1.003,-0.383,-0.137,1.745,-0.349,1.396,1.396
1.6,Pose41,0,0,1.745,0.349,-1.396,-1.396,-0.111,-0.111,-0.346,0.989,-0.643,-0.112,-0.111,-0.111,-0.634,0.994,-0.361,-0.112,1.745,-0.349,1.396,1.396
1.64,Pose42,0,0,1.745,0.349,-1.396,-1.396,-0.058,-0.058,-0.405,1.028,-0.623,-0.058,-0.058,-0.058,-0.674,0.992,-0.319,-0.058,1.745,-0.349,1.396,1.396
1.68,Pose43,0,0,1.745,0.349,-1.396,-1.396,-0.012,-0.012,-0.447,1.05,-0.604,-0.012,-0.012,-0.012,-0.7,0.983,-0.284,-0.012,1.745,-0.349,1.396,1.396
1.72,Pose44,0,0,1.745,0.349,-1.396,-1.396,0.038,0.038,-0.483,1.061,-0.578,0.038,0.038,0.038,-0.719,0.962,-0.243,0.038,1.745,-0.349,1.396,1.396
1.76,Pose45,0,0,1.745,0.349,-1.396,-1.396,0.105,0.105,-0.523,1.056,-0.534,0.105,0.105,0.105,-0.733,0.912,-0.179,0.105,1.745,-0.349,1.396,1.396
1.8,Pose46,0,0,1.745,0.349,-1.396,-1.396,0.139,0.139,-0.542,1.046,-0.505,0.138,0.139,0.139,-0.757,0.916,-0.159,0.139,1.745,-0.349,1.396,1.396
1.84,Pose47,0,0,1.745,0.349,-1.396,-1.396,0.17,0.17,-0.565,1.047,-0.483,0.163,0.17,0.17,-0.822,1.008,-0.186,0.17,1.745,-0.349,1.396,1.396
1.88,Pose48,0,0,1.745,0.349,-1.396,-1.396,0.211,0.211,-0.605,1.066,-0.462,0.191,0.211,0.211,-0.922,1.21,-0.287,0.211,1.745,-0.349,1.396,1.396
1.92,Pose49,0,0,1.745,0.349,-1.396,-1.396,0.23,0.23,-0.625,1.076,-0.451,0.204,0.23,0.23,-0.943,1.311,-0.368,0.23,1.745,-0.349,1.396,1.396
1.96,Pose50,0,0,1.745,0.349,-1.396,-1.396,0.24,0.24,-0.633,1.074,-0.44,0.213,0.24,0.24,-0.91,1.347,-0.437,0.24,1.745,-0.349,1.396,1.396
2,Pose51,0,0,1.745,0.349,-1.396,-1.396,0.237,0.237,-0.624,1.044,-0.42,0.219,0.237,0.237,-0.787,1.262,-0.475,0.237,1.745,-0.349,1.396,1.396
2.04,Pose52,0,0,1.745,0.349,-1.396,-1.396,0.229,0.229,-0.61,1.015,-0.405,0.22,0.229,0.229,-0.693,1.144,-0.451,0.229,1.745,-0.349,1.396,1.396
2.08,Pose53,0,0,1.745,0.349,-1.396,-1.396,0.22,0.22,-0.597,0.988,-0.391,0.218,0.22,0.22,-0.62,1.029,-0.409,0.22,1.745,-0.349,1.396,1.396
2.12,Pose54,0,0,1.745,0.349,-1.396,-1.396,0.213,0.213,-0.589,0.969,-0.38,0.213,0.213,0.213,-0.589,0.969,-0.38,0.213,1.745,-0.349,1.396,1.396
2.16,Pose55,0,0,1.745,0.349,-1.396,-1.396,0.207,0.207,-0.592,0.973,-0.38,0.207,0.207,0.207,-0.592,0.972,-0.38,0.207,1.745,-0.349,1.396,1.396
2.2,Pose56,0,0,1.745,0.349,-1.396,-1.396,0.194,0.194,-0.596,0.983,-0.387,0.194,0.194,0.194,-0.596,0.983,-0.387,0.194,1.745,-0.349,1.396,1.396
2.24,Pose57,0,0,1.745,0.349,-1.396,-1.396,0.182,0.182,-0.597,0.992,-0.395,0.182,0.182,0.182,-0.597,0.992,-0.395,0.182,1.745,-0.349,1.396,1.396
2.28,Pose58,0,0,1.745,0.349,-1.396,-1.396,0.169,0.169,-0.596,1.002,-0.406,0.169,0.169,0.169,-0.596,1.002,-0.406,0.169,1.745,-0.349,1.396,1.396
2.32,Pose59,0,0,1.745,0.349,-1.396,-1.396,0.146,0.146,-0.592,1.016,-0.424,0.146,0.146,0.146,-0.592,1.016,-0.424,0.146,1.745,-0.349,1.396,1.396
2.36,Pose60,0,0,1.745,0.349,-1.396,-1.396,0.129,0.129,-0.588,1.025,-0.437,0.129,0.129,0.129,-0.588,1.025,-0.437,0.129,1.745,-0.349,1.396,1.396
2.4,Pose61,0,0,1.745,0.349,-1.396,-1.396,0.112,0.112,-0.583,1.033,-0.45,0.112,0.112,0.112,-0.583,1.033,-0.45,0.112,1.745,-0.349,1.396,1.396
2.44,Pose62,0,0,1.745,0.349,-1.396,-1.396,0.087,0.087,-0.573,1.041,-0.468,0.087,0.087,0.087,-0.573,1.041,-0.468,0.087,1.745,-0.349,1.396,1.396
2.48,Pose63,0,0,1.745,0.349,-1.396,-1.396,0.072,0.072,-0.566,1.045,-0.479,0.072,0.072,0.072,-0.566,1.045,-0.479,0.072,1.745,-0.349,1.396,1.396
2.52,Pose64,0,0,1.745,0.349,-1.396,-1.396,0.058,0.058,-0.559,1.048,-0.489,0.058,0.058,0.058,-0.559,1.048,-0.489,0.058,1.745,-0.349,1.396,1.396
2.56,Pose65,0,0,1.745,0.349,-1.396,-1.396,0.04,0.04,-0.549,1.049,-0.5,0.04,0.04,0.04,-0.549,1.049,-0.5,0.04,1.745,-0.349,1.396,1.396
2.6,Pose66,0,0,1.745,0.349,-1.396,-1.396,0.031,0.031,-0.544,1.05,-0.506,0.031,0.031,0.031,-0.544,1.049,-0.506,0.031,1.745,-0.349,1.396,1.396
