#WEBOTS_MOTION,V1.0,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
2.440,Pose62,0,-0.184,-0.491,0.99,-0.499,0.183,0,-0.183,-0.491,0.99,-0.499,0.183
2.480,Pose63,0,-0.168,-0.497,1,-0.503,0.168,0,-0.168,-0.496,1,-0.503,0.168
2.520,Pose64,0,-0.153,-0.502,1.009,-0.507,0.153,0,-0.152,-0.502,1.009,-0.507,0.153
2.560,Pose65,0,-0.129,-0.509,1.021,-0.513,0.129,0,-0.129,-0.508,1.021,-0.513,0.129
2.600,Pose66,0,-0.114,-0.512,1.028,-0.515,0.114,0,-0.114,-0.512,1.028,-0.515,0.114
2.640,Pose67,0,-0.092,-0.517,1.036,-0.519,0.092,0,-0.092,-0.517,1.036,-0.519,0.092
2.680,Pose68,0,-0.079,-0.519,1.04,-0.521,0.079,0,-0.079,-0.519,1.04,-0.521,0.079
2.720,Pose69,0,-0.066,-0.521,1.043,-0.522,0.066,0,-0.066,-0.521,1.043,-0.522,0.066
2.760,Pose70,0,-0.055,-0.522,1.045,-0.523,0.055,0,-0.054,-0.522,1.045,-0.523,0.054
2.800,Pose71,0,-0.04,-0.524,1.048,-0.524,0.04,0,-0.039,-0.524,1.048,-0.524,0.039
2.840,Pose72,0,-0.031,-0.524,1.049,-0.525,0.031,0,-0.031,-0.524,1.049,-0.525,0.031
2.880,Pose73,0,-0.024,-0.525,1.05,-0.525,0.024,0,-0.024,-0.525,1.049,-0.525,0.024
