#WEBOTS_MOTION,V1.0,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll
4.16,Pose53,1.745,0.349,-1.396,-1.396,0,-0.159,-0.5,1.005,-0.505,0.159,0,-0.159,-0.5,1.005,-0.505,0.159,1.745,-0.349,1.396,1.396
4.24,Pose54,1.745,0.349,-1.396,-1.396,0,-0.119,-0.511,1.026,-0.514,0.119,0,-0.119,-0.511,1.026,-0.514,0.119,1.745,-0.349,1.396,1.396
4.32,Pose55,1.745,0.349,-1.396,-1.396,0,-0.043,-0.524,1.048,-0.524,0.043,0,-0.043,-0.524,1.048,-0.524,0.043,1.745,-0.349,1.396,1.396
4.4,Pose56,1.745,0.349,-1.396,-1.396,0,0.012,-0.526,1.051,-0.525,-0.012,0,0.013,-0.526,1.051,-0.525,-0.012,1.745,-0.349,1.396,1.396
4.48,Pose57,1.745,0.349,-1.396,-1.396,0,0.068,-0.523,1.044,-0.522,-0.068,0,0.068,-0.522,1.044,-0.522,-0.068,1.745,-0.349,1.396,1.396
4.56,Pose58,1.745,0.349,-1.396,-1.396,0,0.142,-0.508,1.017,-0.51,-0.142,0,0.142,-0.507,1.017,-0.51,-0.142,1.745,-0.349,1.396,1.396
4.64,Pose59,1.745,0.349,-1.396,-1.396,0,0.18,-0.495,0.994,-0.499,-0.18,0,0.181,-0.495,0.994,-0.499,-0.181,1.745,-0.349,1.396,1.396
4.72,Pose60,1.745,0.349,-1.396,-1.396,-0.005,0.21,-0.49,0.987,-0.496,-0.21,-0.005,0.206,-0.482,0.973,-0.49,-0.21,1.745,-0.349,1.396,1.396
4.8,Pose61,1.745,0.349,-1.396,-1.396,-0.031,0.247,-0.508,1.039,-0.516,-0.246,-0.031,0.204,-0.457,0.954,-0.483,-0.242,1.745,-0.349,1.396,1.396
4.88,Pose62,1.745,0.349,-1.396,-1.396,-0.057,0.266,-0.53,1.103,-0.541,-0.265,-0.057,0.179,-0.436,0.951,-0.483,-0.258,1.745,-0.349,1.396,1.396
