#WEBOTS_MOTION,V1.0,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0.000,Pose1,0,0,-0.611,1.222,-0.611,0,0,0,-0.611,1.222,-0.611,0
0.040,Pose2,0,0,-0.608,1.215,-0.608,0,0,0,-0.608,1.215,-0.608,0
0.080,Pose3,0,0,-0.572,1.144,-0.572,0,0,0,-0.572,1.144,-0.572,0
0.120,Pose4,0,0,-0.543,1.086,-0.543,0,0,0,-0.543,1.086,-0.543,0
0.160,Pose5,0,0,-0.525,1.05,-0.525,0,0,0,-0.525,1.05,-0.525,0
0.200,Pose6,0,0,-0.525,1.05,-0.525,0,0,0,-0.525,1.05,-0.525,0
0.240,Pose7,0,0,-0.525,1.05,-0.525,0,0,0,-0.525,1.05,-0.525,0
0.280,Pose8,0,-0.001,-0.525,1.05,-0.525,0.001,0,-0.001,-0.525,1.05,-0.525,0.001
0.320,Pose9,0,-0.003,-0.524,1.05,-0.525,0.003,0,-0.003,-0.524,1.05,-0.525,0.003
0.360,Pose10,0,-0.004,-0.524,1.05,-0.525,0.004,0,-0.004,-0.524,1.05,-0.525,0.004
0.400,Pose11,0,-0.008,-0.524,1.049,-0.526,0.008,0,-0.008,-0.524,1.049,-0.526,0.008
0.440,Pose12,0,-0.01,-0.523,1.049,-0.526,0.01,0,-0.01,-0.523,1.049,-0.526,0.01
0.480,Pose13,0,-0.014,-0.522,1.049,-0.527,0.014,0,-0.014,-0.522,1.049,-0.527,0.014
0.520,Pose14,0,-0.021,-0.521,1.048,-0.527,0.021,0,-0.021,-0.521,1.048,-0.527,0.021
0.560,Pose15,0,-0.027,-0.52,1.048,-0.528,0.027,0,-0.027,-0.52,1.048,-0.528,0.027
0.600,Pose16,0,-0.034,-0.518,1.047,-0.529,0.034,0,-0.034,-0.518,1.047,-0.529,0.034
0.640,Pose17,0,-0.044,-0.516,1.045,-0.53,0.044,0,-0.044,-0.516,1.045,-0.53,0.044
0.680,Pose18,0,-0.063,-0.51,1.041,-0.531,0.063,0,-0.063,-0.51,1.041,-0.531,0.063
0.720,Pose19,0,-0.08,-0.505,1.036,-0.531,0.08,0,-0.08,-0.505,1.036,-0.531,0.08
0.760,Pose20,0,-0.101,-0.498,1.029,-0.531,0.101,0,-0.101,-0.498,1.029,-0.531,0.101
